,Anderson_42,Anderson_OD_51,Berry_393,Berry_OD_86,Blankley_380,Blankley_5,Bloom_OD_144,Esmail_203,Esmail_82,Esmail_OD_893,Gjoen_10,Gjoen_7,Gliddon_OD_3,Gliddon_OD_4,Huang_OD_13,Jacobsen_3,Jenum_8,Kaforou_27,Kaforou_OD_44,Kaforou_OD_53,Lee_4,Leong_24,Leong_RISK_29,Maertzdorf_4,Maertzdorf_OD_100,Qian_OD_17,Rajan_HIV_5,Roe_3,Roe_OD_4,Sambarey_HIV_10,Singhania_OD_20,Sloot_HIV_2,Suliman_4,Suliman_RISK_4,Sweeney_OD_3,Thompson_9,Thompson_FAIL_13,Thompson_RES_5,Tornheim_71,Tornheim_RES_25,Verhagen_10,Walter_51,Walter_PNA_119,Walter_PNA_47,Zak_RISK_16
Gjoen_10,0.1,0.1,0.3,0,0.3,0,0.2,0,0,0.4,1,0.5,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0.1
Gjoen_7,0.142857142857143,0.142857142857143,0.571428571428571,0,0.571428571428571,0,0.285714285714286,0,0,0.571428571428571,0.714285714285714,1,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143
Gliddon_OD_3,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0,0,1,0,0.333333333333333,0.333333333333333,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0.333333333333333
Gliddon_OD_4,0.25,0.25,0.5,0,0.5,0,0,0.25,0,0.25,0,0,0,1,0,0,0,0.25,1,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0.25,0
Huang_OD_13,0,0.0769230769230769,0.230769230769231,0,0.153846153846154,0.0769230769230769,0.307692307692308,0.153846153846154,0.0769230769230769,0.153846153846154,0,0,0.0769230769230769,0,1,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0.0769230769230769,0,0,0
Jacobsen_3,0,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0,1,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
Jenum_8,0,0,0,0,0.125,0,0,0,0,0.125,0.125,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0
Kaforou_27,0.0416666666666667,0.208333333333333,0.583333333333333,0,0.708333333333333,0.0416666666666667,0.25,0.375,0.0833333333333333,0.791666666666667,0,0,0.125,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,1,0.125,0.416666666666667,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0,0,0.0833333333333333,0,0,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.166666666666667,0,0.0416666666666667,0.291666666666667,0,0,0.125,0.0416666666666667,0,0.125
Kaforou_OD_44,0.03125,0.09375,0.28125,0.03125,0.34375,0,0.0625,0.09375,0.0625,0.21875,0,0,0,0.125,0,0,0,0.09375,1,0.5625,0,0.03125,0.03125,0,0,0,0.03125,0,0,0,0,0,0,0,0.03125,0,0,0,0.0625,0,0,0,0.0625,0.0625,0.0625
Kaforou_OD_53,0.111111111111111,0.133333333333333,0.311111111111111,0.0444444444444444,0.488888888888889,0.0222222222222222,0.133333333333333,0.2,0.0444444444444444,0.488888888888889,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0444444444444444,0,0.0222222222222222,0,0.222222222222222,0.4,1,0,0,0,0,0.0222222222222222,0,0.0222222222222222,0.0222222222222222,0,0.0222222222222222,0,0,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0666666666666667,0,0,0.177777777777778,0.0222222222222222,0,0.0444444444444444,0.0666666666666667,0.0444444444444444,0.111111111111111
Lee_4,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leong_24,0,0,0.125,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.125,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,1,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0.0833333333333333
Leong_RISK_29,0.0344827586206897,0,0.137931034482759,0,0.137931034482759,0,0,0.0689655172413793,0,0.172413793103448,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maertzdorf_4,0,0,1,0,1,0,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
