,logFC,AveExpr,t,P.Value,adj.P.Val,B
NPR2,-0.922532575851567,0.80463491438218,-7.3051138002663,7.2791562485166e-09,1.95176224984276e-06,10.2576007310763
LINC01128,-0.984780887149645,2.86439678178664,-7.3040896587033,7.30286387749782e-09,1.95176224984276e-06,10.2544809393887
RTN2,1.32214195768372,3.46079870415714,7.3010421806455,7.37387053022914e-09,1.95534307450811e-06,10.2451970401197
PTGFR,2.89323979034201,-1.46480085063023,7.29331490849585,7.55705154021888e-09,1.98041604539569e-06,10.2216530535781
GAPDH,1.08970968261713,9.42795924500204,7.29057936987115,7.62299288035197e-09,1.98041604539569e-06,10.2133170367828
ANP32C,0.790799663505709,0.669898203142192,7.28878057104919,7.66666937547604e-09,1.98041604539569e-06,10.2078352126378
ATP6V0A1,0.871005850701777,6.35328126301682,7.28734069876752,7.70181244452981e-09,1.98041604539569e-06,10.2034470210832
C1RL,1.04360071121027,6.79700629454849,7.28402794371554,7.78328469496144e-09,1.98631766252918e-06,10.1933503333862
STAG3L5P,-1.02469951238012,2.73879246722808,-7.27348609562099,8.04836988755049e-09,2.02481499656951e-06,10.1612146383014
SARDH,-1.39010952851111,1.03986798205935,-7.27328770664921,8.05344483344777e-09,2.02481499656951e-06,10.1606097832039
NUDT16,0.998822193211758,6.29573732108202,7.26282916015474,8.32559862501552e-09,2.07784903331086e-06,10.1287188473148
RRAGD,1.01732434721726,4.08735820009855,7.2585293775038,8.44015887029973e-09,2.08855800383209e-06,10.1156050585767
LINC00665,-1.72094715282016,1.33859483294421,-7.2556315888632,8.51825997737431e-09,2.08855800383209e-06,10.1067663248878
RTN3,0.940608541757624,8.13506011596569,7.25434727860728,8.55310713961052e-09,2.08855800383209e-06,10.1028487486353
CASP4,1.2746257555429,8.03506373878383,7.24612773389619,8.77955434897283e-09,2.12854024080597e-06,10.0777732232898
TTC9,-1.25734125690589,4.29574949401446,-7.24347221995811,8.85399673234466e-09,2.13136423467548e-06,10.0696708290344
DNAH17,1.55654468340664,5.32916663675352,7.23414014700871,9.12068457341135e-09,2.16182032521813e-06,10.0411926958147
LINC00663,-1.03735866111041,0.293878617469972,-7.2336174172656,9.13586002778529e-09,2.16182032521813e-06,10.0395973058735
TLR2,1.25898157379543,7.90699808920438,7.23074585292636,9.21967970089044e-09,2.16182032521813e-06,10.030832798546
LINC02649,1.35477986854554,2.19168214870832,7.23021423513444,9.2352821624132e-09,2.16182032521813e-06,10.0292101374732
GOLGA8A,-1.30323664166397,4.18869759137076,-7.22427295995612,9.41147303478079e-09,2.16530310208422e-06,10.0110740035552
LINC02295,-1.85684101724335,-0.891846408314044,-7.22354560741351,9.43327432785236e-09,2.16530310208422e-06,10.0088535188118
NPL,1.11195749452428,6.62414868808492,7.22327017755548,9.44154319452196e-09,2.16530310208422e-06,10.0080126668847
SRPK1,1.19671386900552,5.56783652477921,7.21418493409731,9.71842899605545e-09,2.2138450804303e-06,9.98027321228325
ST3GAL6,0.919116349474838,3.73590824234276,7.20256027060344,1.00846705140277e-08,2.28195924391418e-06,9.94477078026217
LINC01485,1.08897804998464,-1.17778851138546,7.19361158230034,1.03760488021091e-08,2.33234336716018e-06,9.91743371258428
ADAP2,0.982447964950258,4.50531742949347,7.1897567015803,1.05041668604035e-08,2.34560810247247e-06,9.90565563091663
KLF8,-1.55540653479878,1.79629465096453,-7.18264888776675,1.0744589370228e-08,2.38361341440704e-06,9.88393561010365
NCF2,1.02111704733071,10.156015279113,7.17676093992897,1.09479419193703e-08,2.40316277636034e-06,9.86594028567117
SERPINB1,1.12931972700756,7.74871354456531,7.17600537840153,1.09743159017104e-08,2.40316277636034e-06,9.86363087049926
LINC01238,-1.24250067844067,1.24894887411012,-7.17087689826729,1.11550321859727e-08,2.41962142890897e-06,9.84795422803782
ATP6V0E2-AS1,-1.34245157569435,1.10709773294909,-7.16983671078784,1.11920500954189e-08,2.41962142890897e-06,9.84477435560701
LZTS3,-1.12987658954206,1.17501444796249,-7.16754892206299,1.12739031589147e-08,2.42189127227774e-06,9.83778025080097
HTATIP2,0.952787379918833,5.45499713430911,7.15632300144778,1.16843687753464e-08,2.49109028232344e-06,9.80345516608519
SLC51A,1.18307262784646,3.0595130373523,7.15475706675826,1.17428096509266e-08,2.49109028232344e-06,9.79866630152735
AC064807.1,-1.05107465099765,0.637516726703601,-7.14989306648317,1.19262185462855e-08,2.49960234243974e-06,9.78379026731731
CENPV,-1.06385370095392,2.25488748094328,-7.14978774908958,1.19302215389558e-08,2.49960234243974e-06,9.78346814528452
